Feature,Importance
checking_account_A14,0.10056196999633117
credit_amount,0.08415875730009466
duration_months,0.07919394841110276
age,0.06970665838474437
checking_account_A11,0.05001792485478833
credit_history_A34,0.029515530892638774
residence_since,0.026139191812406024
installment_rate,0.025734533272492928
savings_account_A61,0.02312718772647897
purpose_A41,0.022699506352063463
other_installment_plans_A143,0.021425140462451885
checking_account_A12,0.020058531776055124
purpose_A40,0.017847502635970316
purpose_A43,0.017487096133015866
other_installment_plans_A141,0.015693144275482452
savings_account_A65,0.014660604887408385
property_A121,0.013860949709366193
property_A124,0.013471124376367728
existing_credits,0.013233641347028475
other_debtors_A103,0.012558219499015446
employment_duration_A72,0.012487860092305668
personal_status_sex_A93,0.01219762454419911
housing_A152,0.012143377478834518
property_A122,0.011656430077367913
personal_status_sex_A92,0.011136261838087537
telephone_A191,0.010821460016830561
job_A174,0.010501806229823161
employment_duration_A74,0.010336769145896322
employment_duration_A75,0.010333454500947465
employment_duration_A73,0.010317569554630913
purpose_A49,0.010019243998805428
dependents,0.009799055029656351
telephone_A192,0.009611871322930907
credit_history_A32,0.009586409480352791
job_A173,0.009211027678605026
purpose_A42,0.009146810232018287
property_A123,0.009049859528601028
checking_account_A13,0.009008269864816553
job_A172,0.008954814722894371
other_debtors_A101,0.00869213102750319
housing_A151,0.008588391458722916
credit_history_A30,0.008410513834936266
employment_duration_A71,0.008298080905100804
housing_A153,0.008297730798030097
credit_history_A33,0.007807255784735391
personal_status_sex_A94,0.0077221294516560115
credit_history_A31,0.007450371576000988
savings_account_A62,0.0073020560106328404
purpose_A46,0.006952956704708025
other_debtors_A102,0.006726143623975293
savings_account_A64,0.006498243297430487
other_installment_plans_A142,0.00649420551395721
foreign_worker_A202,0.006059086788205153
foreign_worker_A201,0.005517711844244456
personal_status_sex_A91,0.005510769472212747
savings_account_A63,0.005403691843806346
purpose_A45,0.004400532814011443
job_A171,0.0023354915030011783
purpose_A410,0.002087541096298742
purpose_A44,0.0010367277903428943
purpose_A48,0.0009370974175801792
