Feature,Importance
Glucose,0.2822359505455886
BMI,0.17625766206527926
Age,0.12361924577828759
DiabetesPedigreeFunction,0.1136192684306325
Insulin,0.10323761458931056
BloodPressure,0.07085315940390421
SkinThickness,0.06671413920935275
Pregnancies,0.06346295997764465
