Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.7337662337662337,0.5970149253731343,0.7407407407407407,0.6611570247933884,0.8240740740740741
SVM,0.7272727272727273,0.5909090909090909,0.7222222222222222,0.65,0.8138888888888889
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963
